,Song,Movie,Singers,Musicians,Lyricists,Lyrics
502,Rehnuma,Rocky Handsome,"Shreya Ghoshal, Inder Bawra","Sunny Bawra, Inder Bawra","Manoj Muntashir, Sagar Lahauri","Rehunma Tu jo mila, sab mil gaya Dil ki namazein ja ke Pohanchi falak se aage To ja ke paya tujhko mere rehnuma Mujhko mera Rab mil gaya Baahon se aage tere Duniya nahin hai meri Rakh le mujhko yahi mere rehnuma Jo na bhaaye teri nazar ko Dekhoongi na main phir wo nazara Tu jo mile to chod du khud ko Tujhmein kahin hai mera kinara Bas tu hi tu mujhe yaad hai Dil ki namazein ja ke Pohanchi falak se aage To ja ke paya tujhko mere rehnuma Ghuzri hoon jab se main tere dar se Hansne lagi hu main khulke rehbar Dard se tere rishta juda to Ab muskurate hain mere manzar (Hain mere manzar) Haan rab ki mujhe saughat hai Dil ki namazein ja ke Pohanchi falak se aage To ja ke paya tujhko mere rehnuma Baahon se aage tere Duniya nahin hai meri Rakh le mujhko yahi mere rehnuma"
503,Alfazon Ki Tarah,Rocky Handsome,Ankit Tiwari,Ankit Tiwari,Abhendra Kumar Upadhyay,Tere siwa kisko sochoon main Meri soch pe tum baithe ho Saasein jahan banti hain meri Us mod pe tum rehte ho x (2) Tu mere alfazon ki tarah Tu mere lihazon ki tarah Gunguna loon aaja main tujhe Tu meri awaazon ki tarah Mere hathon se jo adaa ho Us duva ki chahat Ghuzre jo rab ke yahan se woh Jannat isi raah tu Sajda tumhein sau dafa karoon Us rab ki tarah dikhte ho Saasein jahan banti hain meri Us mod pe tum rehte ho Tu mere alfazon ki tarah Tu mere lihazon ki tarah Gunguna loon aaja main tujhe Tu meri awaazon ki tarah Khwaabon ke labon pe tu hi tha ruka Ya tera naam tha Neenden meri dhoondti rahi tujhe Tu kahin gumnaam tha Lagta hoon main tere hu-ba-hu Aur tum bhi mere jaise ho Saasein jahan banti hain meri Us mod pe tum rehte ho Ho tu mere alfazon ki tarah Tu mere lihazon ki tarah Gunguna loon aaja main tujhe Tu meri awaazon ki tarah
504,Aye Khuda,Rocky Handsome,"Rahat Fateh Ali Khan, Shreya Ghoshal","Sunny Bawra, Inder Bawra","Sachin Pathak, Shekhar Astitwa","Le aayi hai beetey huye Lamhon ko phir haan yeh zindagi Yoon beraham si ho gayi Lene chali jaan yeh zindagi Khuda kyun rooth gaya mujhse Nahin tha bair mera tujhse Kyun toone chhin liya mujhse mera jahan Aye Khuda tu bata Ummid thi, armaan the Khushiyan bhi thi behisab si Baahon mein thi duniya meri Thi zindagi jaise khaab si Har ik pal roshan roshan tha Mehakta dil ka aangan tha Tha jannat se badh ke pyara mera jahan Aye Khuda yeh bata Yeh kya kiya Khuda haye Yeh kyun kiya Khuda Bata mere Khuda Thi kya meri khata Bejaan si hai zindagi Har saans hai ghamzada Yeh kya kiya Khuda haye Yeh kyun kiya Khuda Bata mere Khuda Thi kya meri khata Ummid hai tuti huyi Tanhaaiyon ka daur hai Hai khwaahishein bikhri huui Khamoshiyon ka shor hai Bula le apne paas mujhe Na aaye jeena raas mujhe Kyun toone chheen liya mujhse mera jahan Aye Khuda tu bata Yeh kya kiya Khuda haye Yeh kyun kiya Khuda Bata mere Khuda Thi kya meri khata Bejaan si hai zindagi Har saans hai ghamzada Yeh kya kiya Khuda haye Yeh kyun kiya Khuda Bata mere Khuda Thi kya meri khata"
505,Maya Thagni,Jai Gangajal,Pravesh Mallick,Salim-Sulaiman,Manoj Muntashir,Maya thagni naach nachawe Maya thagni naach nachawe Eehe zamana chaale re Ab eehe zamana chaale re Darr laage aur hansi aave Ab eehe zamana chaale re Danka uska bolega Danda jiske hath mein Gher ke pehle maarenge Baat karenge baad mein Danka uska bolega Danda jiske hath mein Gher ke pehle maarenge Baat karenge baad mein Hawa badan mein sendh lagawe Eehe zamana chaale re Ab eehe zamana chaale re Darr laage aur hansi aave Darr laage aur hansi aave Ab eehe zamana chaale re Ab eehe zamana chaale re..
506,High Heels,Ki And Ka,"Yo Yo Honey Singh, Meet Bros, Jaz Dhami, Aditi Singh Sharma",Meet Bros,Kumaar,"High heels te nache taan tu badi janche High heels te nache taan tu badi janche Ik ik thumke pe sau-sau taaliyan Hile jab lak tera hilti ae baaliyan x (3) 24 ghante mundey rehnde mere agge pichche Mere agge pichche, mere agge pichche Jad high heels te nache taan tu badi janche High heel te nache taan tu badi janche Tu badi janche Pehli baat to yeh Jo tu tik-tok, tik-tok chalti hai Mana yeh saari teri High heels ki galti hai Ruk to jaa tu hang on Yeh to bata tu hai kaun Kahan se aayi hai Kahan ko jaayegi Pagal ladki mujhe marwayegi Shut up! Bas kar yeh jalwe na dikha Yeh sab main bohat dekh chuka Tujh jaisi to patt jaati hai Phir durghatna ghat jaati hai Main hoon shikari kudiye Khaali mera vaar ni jaata Mujhko na pehchane kyun Tere ghar akhbaar ni aata Tere ghar akhbaar ni aata Tu badi janche Aankhon se cheat karke Talk sweet karke Lap main apne tu mujhko bitha lega Mujhe jo tang kiya Kuchh mere sang kiya To meri high heels se maar tu kha lega Nache bin khul jaane zulfan ae kaliyan Seene vich dil-vil thug lain waliyan Nache bin khul jaane zulfan ae kaliyan Seene vich dil-vil thug lain waliyan Jaadu teri beauty wala non stop khiche Non stop khiche, non stop khiche Kenda high heel te nache Taan tu badi janche High heel te nache Taan tu badi… Jad high heel te nache Tu badi janche Jad high heels te nache Taan tu badi janche High heel te nache Taan tu badi janche"
507,Tetua,Jai Gangaajal,Sukhwinder Singh,Salim-Sulaiman,Manoj Muntashir,"Poorab tu bhaag chaahe Pashchim bhaag le Uttar bhaag chaahe Dakshin bhaag le Chaan lenge aise jaise Macchli ho jaal me Tetua daboch lenge Ghuss ke pataal me x (2) Aaj bach jaihen To jaan kal jaavegi Bakre ki maayi khair Kab tak manaavegi Thoos denge, thoos denge Beta sasural me Tetua daboch lenge Ghus ghus ke pataal me Chaan lenge aise jaise Macchli ho jaal me Tetua daboch lenge Ghuss ke pataal me Re tetua daboch lenge"
508,Rock The Party,Rocky Handsome,Bombay Rockers,Bombay Rockers,Bombay Rockers,"Teri to, teri taan hamesha yaad satave I don’t know what you’re saying All I know is that I came to party Teri to, teri taan hamesha yaad satave Dhoom macha de, rang jama de All I know is that I came here to Came to party Aaja baby meri kol Aake gall tu dil di bol Aivein na tadpaya karo Main taan karda teri wait Khol ke dil de gate Milne kadde aaya karo Hey if you really want to get down Aaja baahon mein hum ghoome around Round we go, round we go x (4) Teri to, teri taan hamesha yaad satave I don’t know what you’re saying All I know is that I came to party Teri to teri taan hamesha yaad satave Dhoom macha de, rang jama de All I know is that I came here to Rock the party, rock the party Oye hoye ni kudiye teri jawaani Rock the party, rock the party Oye hoye jawaani ankh mastani Shake your body, shake your body Oye hoye jawani, teri jawani Rock the party, rock the party Rock the party, rock the party Oye hoye ni kudiye teri jawaani Rock the party, rock the party Oye hoye jawaani ankh mastani Shake your body, shake your body Oye hoye jawani, teri jawani Rock the party, rock the party HO haaye.. Teri to, teri taan hamesha yaad satave Hmm teri to, teri taan hamesha yaad satave"
509,Kar Gayi Chull,Kapoor & Sons,"Badshah, Fazilpuria, Sukriti Kakkar, Neha Kakkar",Badshah,Badshah,"Arre ladki beautiful kar gayi chull Chull chull chull Yeah Dekh tera rang sanwla hua banwla Ladki nahin tu hai garam mamla Bolti band meri kahun kya bhala Kuch bhi kaha nahin jaaye Kya nache tu Dilli hile hai London Matak matak jaise Ravina Tandon Aag lagane aayi hai ban than Goli chal gayi dhanye Nakhre vilayati, ego mein rehti Nakhre vilayati, ego mein rehti Tashan dikhaati full Arre ladki beautiful kar gayi chull Chull chull chull Arre daayein baayein Kaise kamar tu jhulaye Physics samajh nahin aaye Arre ladki beautiful kar gayi chull Arre daayein baayein Kaise kamar tu jhulaye Physics samajh nahin aaye Sandal mere cham cham karde Hai gye high brand ve Sandal mere cham cham karde Hai gye high brand ve Mere heel pe honde land ve Sari kudiyan haye desi chidiyan Sari kudiyan desi chidiyan Iklauti main bulbul Main ladki beautiful kar gayi chull Chull chull chull Arre ladki beautiful kar gayi chull Dekh tera rang sanwla hua banwla Ladki nahin tu hai garam mamla Bolti band meri kahun kya bhala Arre ladki beautiful kar gayi chull Kya nache tu Dilli hile hai London Matak matak jaise Ravina Tandon Aag lagane aayi hai ban than Arre ladki beautiful kar gayi chull Koyi bacha lo mujhe sambhalo Arre isse utha lo Arre ladki beautiful kar gayi chull"
510,Jabra Fan,Fan,Nakash Aziz,Vishal-Shekhar,Varun Grover,"Follow karoon Twitter pe Tag karoon Facebook pe Tere quiz mein Google ko beat kar diya Mirror mein tu dikhta hai Neend mein tu tik-ta hai Tere madness ne mujhe dheet kar diya Tu hai sodey ke bottle Main banta tera Main to handle karoon Har tanta tera Mere dil ke mobile ka tu Unlimited plan ho gaya Main tera haye re jabra Hoy re jabra fan ho gaya Main tera haye re jabra Hoy re jabra fan ho gaya Oh tujhe dekhte hi dil mein Dhen te nan ho gaya Main tera haye re jabra Hoy re jabra fan ho gaya Maine tujhpe kari PHD Mera luck mera hak Tu hi only wajah Main to sachchi ho jaoon touchy Koyi tere jo bare mein bole bura Tera yaar haye Mujhko bukhar haye Jaane sari colony mein Tere liye insane ho gaya ha ha Main tera haye re jabra Hoy re jabra fan ho gaya Main tera haye re jabra Hoy re jabra fan ho gaya Oh tujhe dekhte hi dil mein Dhen te nan ho gaya Main tera haye re jabra Hoy re jabra fan ho gaya Style tera phatte hai Tujh pe khele satte hain Tujhse hi wi-fi connection juda Tere tak jo aati hai Line sari kafi hai Koyi kitna bhi roke Main to na ruka Toone jo jo kaha maine ditto kiya Kabhi jeb mein rakha Kabhi dil pe liya Teri aankhon ki garmi mein Sar se pair tak fan ho gaya Main tera dhish, ho tera aah Oh tera fan ho gaya Main tera haye re jabra Hoy re jabra fan ho gaya Oh tujhe dekhte hi dil mein Dhen te nan ho gaya Main tera haye re jabra Hoy re jabra fan ho gaya"
511,Teri Yaad,Tera Suroor,"Badshah, Himesh Reshammiya",Himesh Reshammiya,Shabbir Ahmed,Teri yaad mere dimag me Aise hai basi Naa hi behte hain aansoo Na hi aati hai hassi Kyun tu gai aur kahaan pe gayi Yeh sab mujhko nahin pata Mujhko to bas koyi yehi bata de Ke meri kyaa thi khata Teri yaad hai har jagah Teri yaad hai har jagah Nahin milna humara bewajah Aashiqi tujhse tu hi nahin hai Koyi na koyi hai wajah Aashiqi tujhse tu hi nahin hai Koyi na koyi hai wajah Teri yaad hai har jagah Hona tha jo ho gaya Khona tha jo kho gaya Pyar me tere pad ke Paagal hona hi tha ho gaya Ab yehi divanapan sar chadh ke bole Main kya karoon? Ek chota sa sawal hai Main jiyoon ya maroon Tanha katega kaise yeh safar Mujhme zinda tu hai is kadar Jis ehsas ko lafzo me kehna Hai mumkin nahin yeh ab mera Aashiqi tujhse tu hi nahin hai Koyi na koyi hai wajah Teri yaad hai har jagah
512,Kalol Ho Gaya,Love Shagun,"Tochi Raina, Prashant Satose, Deblina Archana Thamalla, Sayantan Dutta",Band of Bandagi,Gurpreet Sam B,"Sanichar ki raat meri Daru ke naam thi Thodi deir pehle hi Jhol ho gaya x (2) Mere jis yaar ki Gaadi mein tha jana mujhey Uska khatam petrol ho gaya Gaadi nu dhakka la do Koyi disco vich pahuncha do Gaadi nu dhakka la do Koyi disco vich pahuncha do Mera bin matlab vich roll ho gaya Kalol ho gaya, kalol ho gaya x (4) Gap-shap tey chakkaran ch Kaddi vi na paina si Kallan kallan khush si main Kalle kalle rehna si Kalle kalle rehna si Kalle kalle rehna si Panditan ne kundli de Chakkaran ch pa leya Sidha saada munda mainu Sab ne phansa leya Gap-shap tey chakkaran ch Kaddi vi na paina si Kallan kallan khush si main Kalle kalle rehna si Panditan ne kundli de Chakkaran ch pa leya Sidha saada munda mainu Sab ne phansa leya Kabhi socha na tha raja Tera baj jayega baja x (2) Oh teri, L.O.L. pura LOL ho gaya Kalol ho gaya, kalol ho gaya x (4)"
513,Hichkiyan,Love Shagun,"Aditi Singh Sharma, Bob",Ashish Pandit,Ashish Pandit,"Can I hear my party people hala yeah, yeah! Everybody in the party hala aah, aah! All my people in the party hala yeah, yeah! Everybody in the party hala aah, aah C’mon All my party animo Do you know what time it is Its the time hit the floor Get in the drunk in the pub Say my party animo Do you know what time it is Its the time hit the floor Get in the drunk in the pub Yeh bhool ke aaj hu kaun main Ok, that’s ok Main aa gayi aish ke zor mein Yeh bhool ke aaj hu kaun main Ou main aa gayi aish ke zor mein Peene ke jaldbaazi mein Jaane kya pee liya, pee liya Aane lagi hai hichki pe hichkiyan Pe hichkiyaan, pe hichkiyan Pe hichkiyaan, hichkiyan, hichkiyaan Ulti bhi hu ki seedhi bhi Aisi ki taisi duniya ki Kathak karoon ya disko marzi meri x (2) Ayyashiyon ki meri umar hai Jamke besharmi se aankhon ko senkoongi Koyi jancha to aise mein usko Bholi shakal, gandi neeyat se dekhoongi x (2) Khudgarziyan ghalat hain to Kar loon yeh ghaltiyan Aane lagi hai hichki ya hichkiyan Hichkiyaan, hichkiyan, hichkiyaan Hichkiyaan, hichkiyan, hichkiyaan Ulti bhi hu ki seedhi bhi Aisi ki taisi duniya ki Kathak karoon ya disko marzi meri x (2)"
514,Coffee,Love Shagun,"Siddharth Amit Bhavsar, Keka Ghoshal",Rishi Siddharth,Siddharth Amit Bhavsar,"I do as you say What if the other way Coffee is on Saturdays Breakups on Sundays x (2) Phir meri jaan badhega fasla Hokar juda phir milega koyi naya x (2) I like desi food And she wants a Subway I like desi food She wants a Subway If I say love you Woh bol degi hat re Phir meri jaan badhega fasla Hokar juda phir milega koyi naya x (2) Ishq hone ko to ho jaata hai Par poori life Ek pal mein to badalti nahin Hosh khone ko to kho jaata hai Chaand tare todne ke Vaadon se sambhalta nahin Simple se the hum Yeh kahaan pe latke Aasmaan se gir ke Khajoor mein attke Phir meri jaan badhega fasla Hokar juda phir milega koyi naya x (2) Na jaane wo, na janoon main Na jaane ek doosre ko kaise sehte hain Na maane wo, na manoon main Yeh saari baatein phir bhi Haan mein haan kyun bharte hai Seedhe jaate jaate Ulte aake bhatke Yeh funde hit nahin par Hain zara se hat ke Phir meri, phir meri Phir meri jaan Phir badega fasla, fasla, fasla Phir milega koyi naya x (2) Phir meri jaan"
515,Naina Bol Gaye,Jab Tum Kaho,Shankar Mahadevan,Nishad Chandra,Ravi Chopda,"Palkon se uljhi palak Yeh qissa gaya dil talak Ho dil ne kaha dekh li In aakhon mein rab ki jhalak Lamhon ki mulakaaton mein Hamein bandh ke jazbaton mein x (2) Bin bole har bhed jia ka khol gaye Jo hum keh na paaye, naina bol gaye Jo hum keh na paaye, naina bol gaye Naina bol gaye x (4) Jo hum keh na paaye, naina bol gaye x (2) Mannatein, minnatein rang laane lagi Jannatein ru-ba-roo mere aane lagi Ho mannatein, minnatein rang laane lagi Jannatein ru-ba-roo mere aane lagi Khul ke khilne lagi khwahishien Manchali si hain farmayishein Saason mein ehsas nasha sa ghol gaye Jo hum keh na paaye, naina bol gaye Jo hum keh na paaye, naina bol gaye Hoslon ki hawa de gayi chahatein Tum mile to mili dil ko sau raahatein Hum sulajhne, ulajhne lage Ishq kya hai samajhne lage Hum sambhle to dil diwane dol gaye Jo hum keh na paaye, naina bol gaye Jo hum keh na paaye, naina bol gaye Naina bol gaye x (4) Jo hum keh na paaye, naina bol gaye x (2)"
516,Ab Tu Hi Tu,Jab Tum Kaho,"Shafqat Amanat Ali, Palak Muchhal",Anuj Garg,Ratn Nautiyal,Ab tu hi tu mujhme hai Main kahaan bhala x (4) Uda khwaab mera Tere pankhon ki parwazon se Subah meri huyi hai Teri subah ke ujalon se Tujhse se yaqeen paaun Duniya ko jeet jaaun Teri hi to raahon pe main hoon chala Ab tu hi tu mujhme hai Main kahaan bhala x (4) Teri khushiyon ki dori Gamm ki patang meri uda le gayi x (2) Meri har ik kahani teri hi zubani Bayan ho kahin Laqeeren hathon ki badli Tere hathon ke choo jaane se Subah meri huyi hai Teri subah ke ujalon se Tujhse se yaqeen paaun Duniya ko jeet jaaun Teri hi to raahon pe main hoon chala Teri baahon mein aise basein Barish mein jaise boondon ka ghar Mujhko mila hai tu is tarah Soye parindo ko jaise sehar Jannat paayi hai maine Teri duniya mein aa jaane se Subah meri huyi hai Teri subah ke ujalon se Tujhse se yaqeen paaun Duniya ko jeet jaaun Teri hi to raahon pe main hoon chala Ab tu hi tu mujhme hai Main kahaan bhala x (4)
517,Rum Pum,Jab Tum Kaho,"Preet Harpal, Kuwar Virk",Kuwar Virk,Kuwar Virk,"Haye gutt gutt karke peeni ae Kyun rukdi nahin x (2) Teri kye ho ji capacity jo mukdi nahin Everybody wanna know How you dance on the floor Baby you just blow, blow Everybody wanna know How you dance on the floor Baby lets go Haye gutt gutt karke peeni ae Kyun rukdi nahin Teri kye ho ji capacity jo mukdi nahin Ho shot tequila la ke Mundya nu kol bula ke Madam ji nachchan lagdi phir Eh ho ja kardi fun Ho kendi rum pum pum Everybody move your bum Kendi rum pum pum Everybody do like this x (2) Haan ji, baby ji kaisi ho Ek number chhori, mukhde pe glow Allahad jawani ghar nuksan Ka brake laga lo ho jao slow Haye kam ladkon ko chheda kar Tera boyfriend sadd jaayega Is beauty ne kam karle Bechara yoon hi mar jaayega Re chhori atti sundar, atti chokas Sone jaisa rang Thoda dhyaan diya kar chhori Airport pe custom dena pad jaayega Ho kendi rum pum pum Everybody move your bum Kendi rum pum pum Everybody do like this x (2) Haye saara saara din Dekhein hain ladke teri beauty Arey yeh kaisi laga di toone Dekhne ki duty Everybody wanna know How you dance on the floor Baby you just blow, blow Everybody wanna know How you dance on the floor Baby lets go Haye saara saara din Dekhein hain ladke teri beauty Arey yeh kaisi laga di toone Dekhne ki duty Ho lagda ae panga shanga paavengi Mundya nu band karaawengi Rehna madam se bachke She’s dangerous like a gun Ho kendi rum pum pum Everybody move your bum Kendi rum pum pum Everybody do like this x (2)"
518,Kab Aaoge,Jab Tum Kaho,Mohit Chauhan,Anuj Garg,Vijay Akela,Baharein beetne ko hain Batao naa kab aaoge x (2) Ummeedein reetne ko hain Batao naa kab aaoge Tere bin dil yeh pyasa hai Kab talak yoon tarsaoge Parinde lautne ko hain Batao na kab aaoge Abhi jo tum chale aate Hawa sandal si ho jaati x (2) Ke dariya rukh badal leta Ghadi makhmal si ho jati Mujhey bhi chain mil jata Tabiyat bhi sambhal jati Nazare doobne ko hain Batao na kab aaoge Ummeedein reetne ko hain Batao na kab aaoge In aakhon ne teri surat Kuchh is tarah sambhaali hai x (2) Ke inmein tum agar na ho To darpan khaali khaali hai Bass tere aane bhar se meri Yeh hasrat hi machal jaati Sabhi ab puchhne ko hain Batao na kab aaoge Ummeedein reetne ko hain Batao na kab aaoge
519,Wafa Ne Bewafai,Tera Suroor,"Arijit Singh, Neeti Mohan, Suzanne D’Mello",Himesh Reshammiya,Sameer Anjaan,"Ek daur wo tha mujhse bhi zyaada Unko fiqar thi meri Kehte the mujhse rukhsat na honge Milke dobaara kabhi Ab to ghairon se mera haal Poochha jaata hai Yehi dard-e-dil mere Dil ko rulata hai Wafa ne bewafai, bewafai, Bewafai ki hai x (3) Wafa ne bewafai When I look into your eyes Baby I’m in paradise We could take you to the skies We could make you and I x (2) Meri aashiqi yeh rab ke havale Roothe yaar ko bas koyi manaa le Yaadon ki suli dil mein gad jaati hai Veeraniya jab hadd se badh jaati hai Ek daur wo tha mujhse bhi zyaada Unko fiqar thi meri Kehte the mujhse rukhsat na honge Milke dobaara kabhi Ab to ghairon se mera haal Poochha jaata hai Yehi dard-e-dil mere Dil ko rulata hai Wafa ne bewafai, bewafai, Bewafai ki hai x (3) Wafa ne bewafai"
520,Aisa Kyun Maa,Neerja,"Sunidhi Chauhan, Natasha Tejura",Vishal Khurana,Prasoon Joshi,"A aa e ee u oo ae ae O au ann aha x (2) Ka kha ga gha da Cha chha ja jha Ya ta tha da dha adha Ta tha da dha na Pa pha ba bha Ma ya ra la wa A aa e ee u oo ae ae O au ann aha Laado! Ungli pakad ke phir se sikha de Godhi utha le na Maa Aanchal se mera muh pochh dena Maila sa laage jahan A aa e ee u oo ae ae O au ann aha Aakhein dikhaye mujhe jab zindagi Yaad mujhe aati hai tere gusse ki Danta bhi to toone mujhe Phoolon ki tarah Kyun nahin maa sari duniya teri tarah Matha garam hai, subah se mera Rakh de hatheli na Maa Toone kuchh khaya? Der se kyun aayi? Koyi na puchhe yahan A aa e ee u oo ae ae O au ann aha Heera kaha, kabhi nageena kaha Mujhe kyun aise pala tha Maa Teri nazar se mujhe dekhe na jahan Duniya ko to dantegi na Dantegi na Maa Teri nazar se mujhe dekhe na jahan Duniya ko to dantegi na Dantegi na Maa Mujhko shikayat karni hai sabki Mujhko satate hain Maa Ab tu chhupa le, paas bula le Mann hai akela yahan A aa e ee u oo ae ae O au ann aha Laado!"
521,Ganga Maiya,Direct Ishq,Swati Sharma,Tanishk Bagchi,A. M. Turaz,"Dho de mann ki saari kalikh Kar de chamkili si polish Sunle dil se nikli ghuzarish Itni si hai bas farmaish Koyi sajawat, koyi banawat Mana hai dil mein pyar ho gaali Hum hain sawari, tu hai khewaiya Paar laga de apni naiya Ho Ganga maiya, Ganga maiya Twamewa tripti, twamewa shakti Twamewa mukthi, disha twamewa Twamewa jiwan, twamewa nirmal Twamewa dhara, pratha twamewa Sab paap lele, hamein punya dede Tere dar pe aa gaye Tera neer amrit yehi soch ke to Hum vish ko bhi pee gaye Dil hai pyasa, janmon se mata Karde karam zara sa Hum hain sawari, tu hai khewaiya Paar laga de apni naiya Ho Ganga maiya, Ganga maiya Namo Shiwaye, namo vardaye Shivdhari namo namah Ya devi sarwabhuteshu Maa rupena samsthita Is tazgi se teri sadagi se Hamein to pyar ho gaya Barbadi se rok de maiya Ikhtiyar ho gaya Dhundhli hai aasha, khaali hai kasa Ban jaaye na tamasha Hum hain sawari, tu hai khewaiya Paar laga de apni naiya Ho Ganga maiya, Ganga maiya Twamewa tripti, twamewa shakti Twamewa mukthi, disha twamewa Twamewa jiwan, twamewa nirmal Twamewa dhara, pratha twamewa Ganga maiya, Ganga maiya Ganga maiya, Ganga maiya"
522,Gehra Ishq,Neerja,"Shekhar Ravjiani, Shadab Faridi, Farhan Sabri",Vishal Khurana,Prasoon Joshi,"Dheemi dheemi hawa teri Udne lagi hasti meri Oh khushboo khushba mehka ishq Dooba dubka gehra ishq In khayalon ko odh loon main Khud ko yaadon se jod loon main Khushboo khushba mehka ishq Dooba dubka gehra ishq Gehra.. ishq.. Tere dariya mein neela ho jaaoon Teri baarish mein geela ho jaaoon x (2) Tere dariya mein Tere dariya mein neela ho jaaoon Neela ho jaaoon Teri baarish mein geela ho jaaoon Teri baarish mein Tu hi bandish meri, tu hi dhun meri Geela ho jaaoon Tu hi sargam meri, tu ghuzarish hai Tu hi bandish meri, dhun meri Sargam meri Tu ghuzarish meri, tu hi khwahish meri Tu hi humdum hai Tu ghuzarish meri, khwahish meri, humdum meri Oh khushboo khushba mehka ishq Dooba dubka gehra ishq Tu hi mera bairiya, tu hi meri barish Tu hi meri bandish meri, tu hi hai ghuzarish Tu hi meri sargam, tu hi mera humdum Tu hi meri bandish meri, tu hi hai ghuzarish Dheemi dheemi hawa teri Udne lagi hasti meri Oh khushboo khushba mehka ishq Dooba dubka gehra ishq"
523,Akkad Bakkad,Sanam Re,"Badshah, Neha Kakkar",Badshah,Badshah,Akkad bakkad Bombay bo Assi nabbe poore sau Raat ke baje gaye paune 2 Jo hota hai hone do x (4) Akkad bakkad x (4) Kudi tu ek lonly Nach hauli hauli Peeke bas peg do tu Aise kyun hai doli Kudiyan da gang Tey mundeyan di toli Kaafi kuchh hoga But slowly slowly Naach naach ke thak gaya hu Daru peeke akk gaya hu Mujhko ninni aa rahi hai Sath mein apni sone do Akkad bakkad Bombay bo Assi nabbe poore sau Raat ke baje gaye paune 2 Jo hota hai hone do x (2) Akkad bakkad x (4) Yeh na sochiyo tu ke Hoon main teri anti But teri zuban chalti hai jaise kainchi Club mein aayi hoon bus party karne Tu kyun faltu mein hua phirta hai senty Chal yahan se taap le tu Rasta apna naap le tu Meter mera hil gaya to Kaan ke neeche dungi do Akkad bakkad Bombay bo Assi nabbe poore sau Raat ke baje gaye paune 2 Jo hota hai hone do x (2) Akkad bakkad Bombay bo Assi nabbe poore sau Tata bye bye kar de baby Ab tu apne boyfriend ko x (2) Akkad bakkad x (4) Akkad bakkad Bombay bo Assi nabbe poore sau Raat ke baje gaye paune 2 Jo hota hai hone do
524,Manwa Behrupiya,Bollywood Diaries,"Arijit Singh, Vipin Patwa",Vipin Patwa,Dr. Sagar,"Yeh kahan leke aayi hain khwahishein Dhadkanein bekhudi mein jaane kya kahein Hua kya hai tujhe aye mere man baanwre Bebasi mein jaane na tu yeh kya kare Ae manwa behrupiya Tu na jaane yeh kya kar diya x (2) Ek dor koyi kheenche Khaabon ke peechhe peechhe Kehna kisi ka maane na Ae manwa behrupiya Tu na jaane yeh kya kar diya Apni kismat ko khud hi badal de Mukti ke is path par tu khud hi chal de Sapne tere kabhi na honge adhure Tere iraade bhi ab honge pure Janam maran ke dhagon se ab to Tu aise bandh jayega haan Rooh ka parinda uddke phir se Is dharti par aayega Ae manwa behrupiya Tu na jaane yeh kya kar diya x (2) Saasein behkati hain mere seene mein ho.. Aane laga hai mujhko mazaa ab jeene mein Paas pachunchna hai taron ke Pankh laga ke armaano ke, tu udta hi jaye Ae manwa behrupiya Tu na jaane yeh kya kar diya x (2) Ho zindagi yeh jab bhi afsane naye banati hai Ashkon ke katro ko bhi moti sa chamkaati hai Mit jaate hain fasle paas jab yeh bulati hai Lamhon ke dhoondh rahe the Khud chal kar aa jaati hai Pal bhar mein khushiyon ki ab Yeh kaisi saughat hai Ubhar gaye do gaalon pe Rang hain ya jazbat hain Kyon aise bharmaaye Ae manwa behrupiya Tu na jaane yeh kya kar diya x (2) Ek dor koyi kheenche Khaabon ke peechhe peechhe Kehna kisi ka maane na Ae manwa behrupiya Tu na jaane yeh kya kar diya x (2) Manwa behrupiya Manwa.."
525,Aankhein Milayenge Darr Se,Neerja,"K. Mohan, Neha Bhasin",Vishal Khurana,Prasoon Joshi,"Om triyambakam yajaamahe Sugandhim pushti vardanam Urvarukmiwa vandanaan Mrityore mukshiya mamrita Aankhein milayenge darr se Ghuzrenge mushkilo ke mohalle se Nikle hain junun leke ghar se Aankhein milayenge dar se x (2) Tapke nazar se bekhauf barish Kuchh faislon ka mausam hai aaya Saason ne mujhko Jeene ka matlab samjhaya Dhaji dhaji raat ud gayi Roshan roshan subah ho gayi Dar teri aisi kam taisi Aisi kam, taisi kam Darr tera time khatam Let’s get straight buddy Dar is a nobody Aa aa aa aukat him him him himmat Open eyes no shut Darr se bolo chal hatt Chal hatt, chal hatt Dar se bolo chal hatt Chal hatt, chal hatt Aankhein milayenge darr se, dar se Ghuzrenge mushkilo ke mohalle se, mohalle se Nikle hain junun leke ghar se, ghar se Aankhein milayenge dar se Aankhein milayenge.. Aankhein milayenge darr se"
526,Six Pack Abs,Tere Bin Laden ,Ali Zafar,Ali Zafar,Ali Zafar,"Hey Mummy bole Jo bhi karna tu karna haule haule Haan Daddy bole Kyaa kar lega tu yeh bana ke dolle O main yeh bola Jigre mein aag aur badan mein shola To duniya bole baa Aur main bolu ke aaha, aah aah Aa chakh le mere Ek do teen char paanch Yeh mere six pack abs, six pack Baby ko laage fab, fab fab Yey mere six pack abs, six pack Girl follow me in cabs, cabs cabs Yeh mere six pack abs, six pack Six pack…"
